Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Diode,Diode_SOD-123,41.5,-51.85,90,bottom
D2,Diode,Diode_SOD-123,59.5,-51.85,90,bottom
D3,Diode,Diode_SOD-123,77.5,-51.85,90,bottom
D4,Diode,Diode_SOD-123,95.5,-47.7,90,bottom
D5,Diode,Diode_SOD-123,113.5,-43.7,90,bottom
D6,Diode,Diode_SOD-123,131.5,-49.2,90,bottom
D7,Diode,Diode_SOD-123,149.5,-52.85,90,bottom
D8,Diode,Diode_SOD-123,130.218263,-126,90,bottom
D9,Diode,Diode_SOD-123,41.5,-68.85,90,bottom
D10,Diode,Diode_SOD-123,59.5,-68.85,90,bottom
D11,Diode,Diode_SOD-123,77.5,-68.85,90,bottom
D12,Diode,Diode_SOD-123,95.5,-64.85,90,bottom
D13,Diode,Diode_SOD-123,113.5,-60.85,90,bottom
D14,Diode,Diode_SOD-123,131.5,-66.35,90,bottom
D15,Diode,Diode_SOD-123,149.5,-69.85,90,bottom
D16,Diode,Diode_SOD-123,147.418263,-135.025,90,bottom
D17,Diode,Diode_SOD-123,41.5,-85.85,90,bottom
D18,Diode,Diode_SOD-123,41.5,-102.7,90,bottom
D19,Diode,Diode_SOD-123,59.5,-85.85,90,bottom
D20,Diode,Diode_SOD-123,59.5,-102.85,90,bottom
D21,Diode,Diode_SOD-123,77.5,-85.85,90,bottom
D22,Diode,Diode_SOD-123,77.5,-102.85,90,bottom
D23,Diode,Diode_SOD-123,95.5,-81.85,90,bottom
D24,Diode,Diode_SOD-123,95.5,-98.85,90,bottom
D25,Diode,Diode_SOD-123,113.5,-77.85,90,bottom
D26,Diode,Diode_SOD-123,113.5,-94.85,90,bottom
D27,Diode,Diode_SOD-123,131.5,-83.35,90,bottom
D28,Diode,Diode_SOD-123,131.5,-100.35,90,bottom
D29,Diode,Diode_SOD-123,149.5,-86.85,90,bottom
D30,Diode,Diode_SOD-123,149.5,-103.85,90,bottom
D31,Diode,Diode_SOD-123,161.893263,-148,90,bottom
D33,Diode,Diode_SOD-123,102.115,-103.45,90,bottom
