Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Diode,Diode_SOD-123,66.6375,-53.4125,90,bottom
D2,Diode,Diode_SOD-123,84.6375,-49.9125,90,bottom
D3,Diode,Diode_SOD-123,102.6375,-44.4875,90,bottom
D4,Diode,Diode_SOD-123,120.6375,-48.2875,90,bottom
D5,Diode,Diode_SOD-123,138.6375,-52.2125,90,bottom
D6,Diode,Diode_SOD-123,156.6375,-52.2125,90,bottom
D7,Diode,Diode_SOD-123,174.6375,-52.3625,90,bottom
D8,Diode,Diode_SOD-123,48.32436,-140.9875,90,bottom
D9,Diode,Diode_SOD-123,66.6375,-70.4125,90,bottom
D10,Diode,Diode_SOD-123,84.6375,-66.9125,90,bottom
D11,Diode,Diode_SOD-123,102.6375,-61.4875,90,bottom
D12,Diode,Diode_SOD-123,120.6375,-65.4375,90,bottom
D13,Diode,Diode_SOD-123,138.6375,-69.3625,90,bottom
D14,Diode,Diode_SOD-123,156.6375,-69.3625,90,bottom
D15,Diode,Diode_SOD-123,174.6375,-69.3625,90,bottom
D16,Diode,Diode_SOD-123,64.922328,-129.413538,90,bottom
D17,Diode,Diode_SOD-123,66.6375,-87.4125,90,bottom
D18,Diode,Diode_SOD-123,66.6375,-104.2625,90,bottom
D19,Diode,Diode_SOD-123,84.6375,-83.9125,90,bottom
D20,Diode,Diode_SOD-123,84.6375,-100.9125,90,bottom
D21,Diode,Diode_SOD-123,102.6375,-78.4875,90,bottom
D22,Diode,Diode_SOD-123,102.6375,-95.4875,90,bottom
D23,Diode,Diode_SOD-123,120.6375,-82.4375,90,bottom
D24,Diode,Diode_SOD-123,120.6375,-99.4375,90,bottom
D25,Diode,Diode_SOD-123,138.6375,-86.3625,90,bottom
D26,Diode,Diode_SOD-123,138.6375,-103.3625,90,bottom
D27,Diode,Diode_SOD-123,156.6375,-86.3625,90,bottom
D28,Diode,Diode_SOD-123,156.6375,-103.3625,90,bottom
D29,Diode,Diode_SOD-123,174.6375,-86.3625,90,bottom
D30,Diode,Diode_SOD-123,174.6375,-103.3625,90,bottom
D31,Diode,Diode_SOD-123,84.397328,-122.938538,90,bottom
D33,Diode,Diode_SOD-123,91.4875,-103.2125,90,bottom
